ð ə; the
b ˈ ɪ l; bill
n ˈ əʊ t ɪ d; noted
m ˈ aʊ n t ɪ n; mountain
ˈ ɛə p ˌ ɔː t; airport
ˈ aɪ ə l ə n d; ireland
p l ˈ ɑː n t; plant
s ɪ k j ˈ ʊə ɹ ɪ t i; security
ˈ ɪ n k ˌ ʌ m; income
ˈ ɪ ʃ uː z; issues
ə s ˈ əʊ s ɪ ˌ eɪ t ɪ d; associated
m ˈ æ n ɪ dʒ ə; manager
ˈ ɑː t ɪ s t s; artists
ɹ ɪ l ˈ eɪ t ɪ d; related
ˈ æ k s ˌ ɛ s; access
b ɹ ˈ aʊ n; brown
ɹ ˈ ʌ n ɪ ŋ; running
p ˈ iː t ə; peter
ˌ ɪ n d ɪ v ˈ ɪ d j ʊə l; individual
ɹ ˈ ɪ tʃ ə d; richard
ˈ əʊ l d ə; older
v ˈ ɪ k t ɹ i; victory
ˈ əʊ p ə n ɪ ŋ; opening
p ɹ ˈ əʊ g ɹ ˌ æ m z; programmes programs
p ˈ ɑː s t; passed past
ɹ ɪ p ˈ ɔː t; report
s ˈ aʊ n d; sound
p ɹ ˈ ɛ s; press
w ˈ ʊ m ə n; woman
f ˈ aɪ n ə l i; finally
f ˈ aɪ n d; find
b ˈ æ k g ɹ ˌ aʊ n d; background
p ˈ ɒ l ɪ s i; policy
ˈ aʊ ə; hour our
j ˈ uː θ; youth
f ˌ aɪ n ˈ æ n ʃ ə l; financial
d ˈ eɪ t; date
ɪ g z ˈ ɛ k j ʊ t ɪ v; executive
l ˈ ɔː n tʃ t; launched
s ˈ əʊ v ɪə t; soviet
ə d m ˌ ɪ n ɪ s t ɹ ˈ eɪ ʃ ə n; administration
h ɪ s t ˈ ɒ ɹ ɪ k ə l; historical
k l ˈ əʊ z d; closed
h ˈ ɪə; hear here
m ˈ ɑː k; marc mark
k ˈ æ p t ɪ n; captain
b ˈ ɑː s k ɪ t b ˌ ɔː l; basketball
l ˈ ɪ v d; lived
ɹ ˈ æ n; ran
b ˈ ɛ t ə; better
ɪ d ˈ ɪ ʃ ə n; edition
f ˈ eɪ m ə s; famous
k ə n t ˈ eɪ n z; contains
ʃ ɪ k ˈ ɑː g əʊ; chicago
s ˈ ʌ b s ɪ k w ə n t l i; subsequently
m ˈ uː v; move
s ɪ l ˈ ɛ k t ɪ d; selected
ɔː l ɹ ˈ ɛ d i; already
l ˈ iː g ə l; legal
ɹ ˈ ʊə ɹ ə l; rural
ɹ ɪ l ˈ ɪ dʒ ə s; religious
s t ˈ ʌ d i d; studied
ˈ ɛ n t ə d; entered
k ˈ ʌ l tʃ ə ɹ ə l; cultural
l ˈ aɪ n z; lines
p ˈ ɜː s ə n; person
t ˈ ɛ s t; test
ə p ˈ ɪə ɹ ə n s; appearance
k ə m p l ˈ iː t; complete
ɪ n k ɹ ˈ iː s t; increased
ɹ ˈ ɛ s t; rest
z ˈ iː l ə n d; zealand
s ˈ ɛ k ɹ ɪ t ə ɹ i; secretary
k ə m p l ˈ ɛ k s; complex
s ˈ iː t; seat
tʃ ˈ eɪ n dʒ ɪ z; changes
m ˈ æ tʃ ɪ z; matches
m ə dʒ ˈ ɒ ɹ ɪ t i; majority
ɹ ˈ uː m; room
l ˈ ɒ s; loss
t ˈ ɜː m z; terms
ɹ ɪ v j ˈ uː; review
ˈ ɛ m p aɪ ə; empire
m ˈ ɪ ʃ ə n; mission
v ə dʒ ˈ ɪ n j ə; virginia
ə l ˈ ɪ m p ɪ k s; olympics
ˈ ɪ t ə l i; italy
h ˈ aɪ ɪ s t; highest
s t ˈ eɪ d ɪə m; stadium
b ɪ k ˈ ʌ m ɪ ŋ; becoming
g ˈ əʊ l z; goals
s t ˈ ɑː t ɪ ŋ; starting
w ˈ aɪ d; wide
k ˈ æ ɹ ɪ k t ə z; characters
ɹ ˈ aɪ t ə; writer
p ə t ˈ ɪ k j ʊ l ə l i; particularly
f ˈ æ k t; fact
m ˈ əʊ s t l i; mostly
m ˈ ɛ k s ɪ k ˌ əʊ; mexico
θ ˈ ɔː t; thought
ˈ aʊ ə z; hours ours
s t ˈ əʊ n; stone
ɹ ɪ t ˈ aɪ ə d; retired
ɹ ɪ k ˈ ɔː d ɪ ŋ; recording
g ˈ əʊ ɪ ŋ; going
g ˈ ɪ v; give
f ˈ iː tʃ ə; feature
k ɹ ˈ ɒ s; cross
s m ˈ ɪ θ; smith
ˈ ɔː θ ə; author
ˈ ɒ p ə ɹ ˌ eɪ t ɪ d; operated
s ˈ ɜː; sir
ɹ ˈ iː s ə n t; recent
s t ˈ eɪ t ə s; status
tʃ ˈ ɑː t; chart
θ ˈ ɪə ɹ i; theory
g ɹ ˈ iː k; greek
ˈ aɪ l ə n d z; islands
k ˈ ɔː z d; caused
ɪ n t ˈ aɪ ə; entire
g ˈ ɒ t; got
ɹ ɪ m ˈ eɪ n z; remains
n ˈ aɪ n; nine
ˈ ɛ n dʒ ɪ n; engine
s ˈ ɔː s; sauce source
dʒ ˈ iː n ə s; genus
f ˈ ɔː s t; forced
ˈ ɪ ʃ uː; issue
s ˈ ɪ ŋ g ə l z; singles
ˈ ɛ v ɪ d ə n s; evidence
m ˈ iː t ɪ ŋ; meeting
k ˈ ɒ ŋ g ɹ ɛ s; congress
p ˈ ɔː t; port
v ə ɹ ˈ aɪ ə t i; variety
p ˌ ɛ n s ɪ l v ˈ eɪ n j ə; pennsylvania
f ˈ ɒ ɹ ɪ s t; forest
l ˈ ɔː d; laud lord
j ˈ uː s ɪ z; uses
p ə t ˈ ɪ k j ʊ l ə; particular
k ˈ iː; key ki quay
s ə p ˈ ɔː t ɪ d; supported
w ˈ ɜː d; word
k ɹ iː ˈ eɪ t; create
ɹ ɪ l ˈ eɪ ʃ ə n ʃ ˌ ɪ p; relationship
ˈ əʊ v ə ɹ ɔː l; overall
h ˈ æ n d; hand
d ˌ ɛ m ə k ɹ ˈ æ t ɪ k; democratic
s ˈ ɜː t ə n; certain
k ˈ ɑː s ə l; castle
b aɪ ˈ ɒ g ɹ ə f i; biography
n ˈ eɪ tʃ ə; nature
m ˈ ɛə ɹ i; mary
n ˈ eɪ m z; names
f ˈ ɔː t; fort fought
p ˈ æ ɹ ɪ ʃ; parish
d ɪ s ˈ ɪ ʒ ə n; decision
s ˈ ɜː v ɪ ŋ; serving
s k ˈ ɔː; score
k ˈ ʌ v ə; cover
w ˈ eɪ l z; wales
s ˈ ɪ ŋ ə; singer
n ˈ iː d; knead need
m ə t ˈ ɪə ɹ ɪə l; material
ʃ ˈ əʊ n; shown
f l ˈ ɒ ɹ ɪ d ə; florida
ˈ ʌ p ə; upper
ɹ ɪ f ˈ ɜː d; referred
l ˈ ɑː dʒ ə; larger
m ˈ æ ɹ ɪ dʒ; marriage
l ˈ ɛ ŋ θ; length
l ˈ iː v ɪ ŋ; leaving
w ˈ iː k s; weeks
m ˈ uː v i; movie
ɹ ˈ eɪ z d; raised
ɹ ˈ eɪ t; rate
dʒ ˈ ʌ s t ɪ s; justice
f ˈ ɔː l; fall
ˈ ɔː l w ɪ z; always
m ˈ ɪ n ɪ t s; minutes
dʒ ˈ uː n j ə; junior
s t ˈ eɪ ʃ ə n z; stations
t ˈ ɜː n; tern turn
ˈ aɪ ɹ ɪ ʃ; irish
t ˈ ɛ m p ə l; temple
k ˈ eɪ s ɪ z; cases
ˈ ɪə ɹ ə; era
ˌ ɪ n d ɪ v ˈ ɪ d j ʊə l z; individuals
t ˈ aʊ n ʃ ɪ p; township
k l ˈ eɪ m d; claimed
f ɹ ˈ ɛ n d z; friends
v ˈ æ n; van
ˈ ɜː n d; earned
f ˈ eɪ l d; failed
s ˈ ɪ s t ə; sister
d ˈ iː l; deal
ˈ ɪ n k ɹ ˌ iː s; increase
h ˈ ɛ l p t; helped
t ˈ eɪ k s; takes
h ˈ aʊ z ɪ z; houses
ð ə m s ˈ ɛ l v z; themselves
f ˈ ɔː m z; forms
s ˈ iː z ə n z; seasons
ˈ eɪ n ʃ ə n t; ancient
t ɹ ˈ uː p s; troops
b ɪ l ˈ iː v d; believed
ɪ l ˈ ɛ k ʃ ə n z; elections
p ɹ ɪ z ˈ ɛ n t ɪ d; presented
ˈ ɒ f ə d; offered
t ɹ ˈ eɪ n; train
k ə m p ˈ əʊ z d; composed
ʃ ˈ ɒ t; shot
k ˈ ɛə; care
s ˈ ɪ t i z; cities
l ˈ ɒ ŋ g ə; longer
p ə s ˈ ɪ f ɪ k; pacific
t ɹ ˈ æ k s; tracks
p ɹ ˈ ɒ d ʌ k t s; products
f ˈ aɪ t; fight
ˌ ɛ n dʒ ɪ n ˈ ɪə ɹ ɪ ŋ; engineering
m ˈ eɪ n l i; mainly
tʃ ˈ ɛə m ə n; chairman chairmen
p ɹ ə v ˈ aɪ d z; provides
f ˈ ɛ l əʊ; fellow
b ˈ ɪ ʃ ə p; bishop
p l ˈ ɒ t; plot
ɪ k s p ˈ ɪə ɹ ɪə n s; experience
s t ˈ ɑː z; stars
p ɹ ˈ ɪ n s; prince
ˈ æ k t ə; actor
d ˈ ɑː n s; dance
ɪ f ˈ ɛ k t; effect
n ˈ ɪə l i; nearly
ð ˈ ɛə f ˌ ɔː; therefore
k ə n s ˈ ɪ s t s; consists
b ɹ ˈ ɔː d k ˌ ɑː s t; broadcast
k ˈ ɑː s t; cast
s ˈ ɛ p ɹ ɪ t; separate
w ˈ ɪ n t ə; winter
p ɹ ˈ aɪ m; prime
s ˈ eɪ n t; saint
k ˈ æ m p; camp
m ˈ eɪ l; mail male
ə d m ˈ ɪ n ɪ s t ɹ ə t ɪ v; administrative
s ˈ ɜː f ɪ s; surface
k ˈ æ ɹ i d; carried
ˈ ɪ n f l ʊə n s; influence
h ˈ ʌ z b ə n d; husband
s ə b dʒ ˈ ɛ k t; subject
k ɹ ˈ iː k; creak creek
b ˈ eɪ s b ˌ ɔː l; baseball
ə s ˈ ɪ s t ə n t; assistant
ɹ ɪ s p ˈ ɒ n s; response
p ɹ ˈ ɒ b l ə m z; problems
ɹ ɪ m ˈ eɪ n ɪ ŋ; remaining
h ˈ ɑː t; hart heart
f ˈ ɪ f θ; fifth
ˈ ɔɪ l; oil
p ɹ ə d j ˈ uː s ə; producer
m ˈ ʌ n θ; month
f ɹ ˈ ɛ n d; friend
d ˈ ʌ n; done dun
dʒ ˈ əʊ z ɪ f; joseph
p ɹ ə p ˈ əʊ z d; proposed
s p ˈ eɪ n; spain
b ɹ ˈ ɑː n tʃ; branch
s ˈ ɪ l v ə; silver
g ɹ ˈ eɪ t ə; greater
t ˈ ɜː n d; turned
n ˈ ɪə b ˌ aɪ; nearby
tʃ ˈ æ m p ɪə n; champion
k ˈ ɒ s t; cost
p l ˈ æ n z; plans
m ˈ iː n ɪ ŋ; meaning
dʒ ˈ uː ɪ ʃ; jewish
ə p ˈ ɪə z; appears
n ˈ eɪ ʃ ə n z; nations
h ˈ ɛ v i; heavy
k ɹ ˈ ɪ t ɪ k ə l; critical
g ˈ ɒ d; god
m ˈ eɪ l z; mails males
m ˈ aɪ n ə; miner minor
ə k w ˈ aɪ ə d; acquired
ɹ ˈ ʌ ʃ ə; russia
v j ˈ uː; view
p ˈ ɛə ɹ ə n t s; parents
d ˌ ɪ s t ɹ ɪ b j ˈ uː ʃ ə n; distribution
m ˈ ʌ l t ɪ p ə l; multiple
p ˈ əʊ l ə n d; poland
m ˈ aɪ l z; miles
g ɹ ˈ æ d j ʊ ˌ eɪ t ɪ d; graduated
ə t ˈ ɛ m p t; attempt
s p ɹ ˈ ɪ ŋ; spring
b ˈ ɔː d ə; border
p ɹ ə m ˈ əʊ t ɪ d; promoted
l ˈ uː i; louis
ɪ n ˈ ʌ f; enough
f ˈ iː m ˌ eɪ l z; females
t ˈ ɛ ɹ ɪ t ə ɹ i; territory
ə p ˈ ɪə ɹ ə n s ɪ z; appearances
d ˈ ɪ dʒ ɪ t ə l; digital
h ˈ ɒ k i; hockey
p ˌ ɒ l ɪ t ˈ ɪ ʃ ə n; politician
ˈ ɑː t ɪ k ə l; article
ɹ ɪ s p ˈ ɒ n s ɪ b ə l; responsible
h əʊ t ˈ ɛ l; hotel
k ə n s t ɹ ˈ ʌ k t ɪ d; constructed
k w ˈ iː n; queen
t ɹ æ n s p ˈ ɔː t; transport
k ə n d ˈ ɪ ʃ ə n z; conditions
v ˈ əʊ t; vote
l ˈ ɪ v z; lives
ˈ æ l b ə m z; albums
ʃ ˈ ɪ p s; ships
m ˈ aɪ t; might mite
p ɹ ˈ aɪ z; prise prize
ˌ æ k ə d ˈ ɛ m ɪ k; academic
s p ɪ s ˈ ɪ f ɪ k; specific
w ˈ ɛ ð ə; weather whether
ɹ ˈ ɛ z ɪ d ə n t s; residents
h ˈ aʊ s h ˌ əʊ l d z; households
p ɹ ˈ ɒ dʒ ɛ k t s; projects
ˈ aɪ s; ice
ɹ ˈ ɛ dʒ ɪ m ə n t; regiment
k ˈ ɔː; cor core corps
ɔː θ ˈ ɒ ɹ ɪ t i; authority
j ˈ ɛ t; yet
n ˈ ʌ m b ə z; numbers
h ˈ aʊ z ɪ ŋ; housing
m ˈ æ n ɪ dʒ d; managed
k ˈ ɔː z; cause
f ˈ eɪ s; face
s t ˈ ɔː ɹ i z; stories
d ˈ eɪ l i; daily
l ˈ aɪ z; lies
d aɪ ɹ ˈ ɛ k t; direct
ˈ ɑː s k t; asked
s ˈ ɜː v; serve
p ɹ ˈ aɪ m ə ɹ ɪ l i; primarily
k ˈ æ m p ə s; campus
l ˈ iː v; leave
k ˈ ɔː l; call
ə ɹ ˈ aɪ v d; arrived
ˈ ɛ d w ə d; edward
ɹ ˈ uː l; rule
b ɹ ˈ ʌ ð ə z; brothers
m ˈ ɪ n ɪ s t ɹ i; ministry
ˈ ɛ l ɪ m ə n t s; elements
t ˈ aʊ ə; tower
m ˈ eɪ k s; makes
d ɪ s k ˈ ʌ v ə d; discovered
k ə m p j ˈ uː t ə; computer
m ˈ ɑː s t ə; master
f ə s ˈ ɪ l ɪ t i z; facilities
ɪ n s ˈ aɪ d; inside
ɪ k s t ˈ ɛ n d ɪ d; extended
k ˌ æ ɹ ə l ˈ aɪ n ə; carolina
t ˈ əʊ l d; told
ɹ ˈ ʌ g b i; rugby
ɹ ɪ s ˈ ɛ p ʃ ə n; reception
h ˈ əʊ l; hole whole
m ˈ iː d ɪə n; median
d ˈ ʌ tʃ; dutch
k ˈ ʌ v ə d; covered
ə l ˈ aʊ; allow
dʒ ˈ ɜː n ə l; journal
f ˈ ɪ z ɪ k ə l; physical
m ˈ ɑː t ɪ n; martin
m ˈ ɛə; mare mayor
l ˈ ɛ v ə l z; levels
w ˈ ɒ n t ɪ d; wanted
d aɪ ɹ ˈ ɛ k t l i; directly
d ɪ s k ɹ ˈ ɪ p ʃ ə n; description
f ˈ ʌ ŋ k ʃ ə n; function
n j ˈ uː z p ˌ eɪ p ə; newspaper
p ˈ ɑː s; pass
ɪ s t ˈ eɪ t; estate
ˈ ɪ ʃ uː d; issued
ˈ ɒ f ɪ s ə z; officers
v ˈ æ l j uː; value
l ˈ æ t ɪ n; latin
l ˈ æ t ə; latter
l ˈ ɪ t ə ɹ ə tʃ ə; literature
k ə n t ˈ ɛ m p ə ɹ ə ɹ i; contemporary
ɹ ˈ iː s ə n t l i; recently
s ˈ ɛ k ə n d ə ɹ i; secondary
g ɹ ˈ əʊ θ; growth
s p ˈ iː d; speed
g l ˈ əʊ b ə l; global
f l ˈ aɪ t; flight
d ɹ ˈ ɑː m ə; drama
d ɪ f ˈ ɛ n s; defence defense
w ˈ ɜː d z; words
b ɹ ˈ ɪ t ə n; britain
k ə m ˈ ɑː n d ə; commander
aɪ d ˈ ɪə; idea
ɹ ˈ eɪ s ɪ z; races
ʃ ˈ ɔː t l i; shortly
m ə ɹ ˈ iː n; marine
f ˈ ɔː m ə l i; formally formerly
f ɔː m ˈ eɪ ʃ ə n; formation
t ɹ æ n s f ˈ ɜː d; transferred
ɪ m ˈ iː d ɪə t l i; immediately
h ˈ aɪ l i; highly
l ˈ eɪ b ə l; label
l ˈ aɪ k l i; likely
s ˈ eɪ ɪ ŋ; saying
s ˈ ɛ n ɪ t; senate
p ɹ ˈ ɒ m ɪ n ə n t; prominent
ɹ ɪ p ˈ ʌ b l ɪ k ə n; republican
w ˈ ɔː l; wall
ə f ˈ ɪ ʃ ə l i; officially
ˈ ɜː θ; earth
k ˌ ɔː p ə ɹ ˈ eɪ ʃ ə n; corporation
ɹ ˈ ɛ f ɹ ə n s ɪ z; references
p ə s ˈ ɛ n t; percent
t ˈ ɪ p ɪ k l i; typically
d ˈ ɛ d; dead
s ˈ ɛ t ə l m ə n t; settlement
b ˈ iː tʃ; beach beech
s k ˈ ɒ t l ə n d; scotland
ɪ f ˈ ɛ k t s; effects
ˈ ɒ n l ˌ aɪ n; online
p ˈ iː s; peace piece
ɹ ɪ z ˈ ɜː v; reserve
s ˈ əʊ l dʒ ə z; soldiers
ə g ɹ ˈ iː m ə n t; agreement
t ɹ ˈ iː t m ə n t; treatment
s ˈ ɔː s ɪ z; sources
v ˈ ɔɪ s; voice
p ɹ ə d j ˈ uː s; produce
m ˈ uː v ɪ ŋ; moving
n ˈ eɪ v ə l; naval navel
d ˈ ɑː k; dark
p ɑː t ˈ ɪ s ɪ p ˌ eɪ t ɪ d; participated
w ˈ ɜː k ə z; workers
ɪ n ˈ ɪ ʃ ə l; initial
ˈ ɜː b ə n; urban
s m ˈ ɔː l ə; smaller
h ˈ ɒ t; hot
k ˈ əʊ d; code
h ˈ əʊ s t; host
ə p ˈ ɪə; appear
k w ˈ ɪ k l i; quickly
ˈ ɛ m p ə ɹ ə; emperor
k ˈ ɒ m ə n l i; commonly
ɪ n d ˈ ʌ s t ɹ ɪə l; industrial
g ɹ ˈ uː; grew
k ˈ æ n d ɪ d ɪ t; candidate
t ˈ aɪ p s; types
k w ˈ ɒ l ɪ t i; quality
ˈ eɪ ʃ ə n; asian
p ˈ eɪ p ə; paper
ɹ ˈ eɪ s ɪ ŋ; racing
ˈ æ v ɪ n j ˌ uː; avenue
l ˈ æ k; lack
d ɪ v ˈ aɪ d ɪ d; divided
k ə n t ˈ ɪ n j uː; continue
b ˈ eɪ s ɪ s; basis
l ˈ iː; lea lee leigh
b ˈ ɒ s t ə n; boston
əʊ h ˈ aɪ əʊ; ohio
w ˈ ɪ ŋ; wing
k l ˈ ʌ b z; clubs
l ˈ iː d ə ʃ ˌ ɪ p; leadership
p ɹ ˈ ɒ b ə b l i; probably
ˈ ɛ d ɪ t ə; editor
p ˈ ɔː; paw poor pore pour
k ˈ ʌ m z; comes
ə l ˈ ɒ ŋ s ˌ aɪ d; alongside
æ k t ˈ ɪ v ɪ t i; activity
f ɹ æ n s ˈ ɪ s k əʊ; francisco
dʒ ˈ ɜː z i; jersey
f ˈ ɔː m ˌ æ t; format
ɪ n t ˈ ɛ n d ɪ d; intended
t ɹ ˈ uː; true
p ˈ ɒ l ɪ t ˌ ɪ k s; politics
ˈ æ l; al
m ɪ m ˈ ɔː ɹ ɪə l; memorial
m ˈ ɛ t ə l; metal
dʒ ˈ ʌ dʒ; judge
ə f ˈ ɛə z; affairs
l ˈ æ ŋ g w ɪ dʒ ɪ z; languages
ɹ ˈ uː l z; rules
s ˈ ɒ f w ˌ ɛə; software
f ˈ ɑː m; farm
ˈ ɔː d ə d; ordered
k ˈ ʌ t; cut
d ˈ ɛ d ɪ k eɪ t ɪ d; dedicated
k ə n d ˈ ʌ k t ɪ d; conducted
ɹ ɪ v ˈ iː l d; revealed
f ˈ ɒ l əʊ z; follows
ˈ ɛ f ə t s; efforts
ˈ æ k t ɪ ŋ; acting
f ˈ əʊ k ə s; focus
s ˈ uː p ə; super
k ə m b ˈ aɪ n d; combined
m ˈ ɪ ʃ ɪ g ə n; michigan
ˈ ɒ p ə ɹ ˌ eɪ t ɪ ŋ; operating
f l ˈ iː t; fleet
w ˈ ɪ n ə; winner
p l ˈ æ n d; planned
k ə p ˈ æ s ɪ t i; capacity
ɹ ɪ m ˈ uː v d; removed
ˈ ɛ l; el
s k ˈ ɒ t ɪ ʃ; scottish
m ˈ æ s; mass
ˈ ɒ p ɹ ə; opera
s ˌ aɪ ə n t ˈ ɪ f ɪ k; scientific
ˈ ɑː k ɪ t ˌ ɛ k tʃ ə; architecture
p ɹ ˈ ɪ z ə n; prison
p ˈ ɒ z ɪ t ɪ v; positive
l ˈ iː d ə z; leaders
ɹ ˈ ɛ dʒ ɪ s t ə; register
ə d v ˈ ɑː n s t; advanced
g ɹ ˈ eɪ d; grade
k ˈ iː p; keep
m ˈ iː t; meat meet
k ə m j ˈ uː n ɪ t i z; communities
k ə l ˈ ʌ m b ɪə; columbia
ˌ ɛ n t ə t ˈ eɪ n m ə n t; entertainment
ɪ k w ˈ ɪ p m ə n t; equipment
dʒ ˈ ɒ b; job
p ˈ ɜː tʃ ɪ s t; purchased
p ə t ˈ ɛ n ʃ ə l; potential
g ˈ ɜː l; girl
ɪ k ˈ ɒ n ə m i; economy
f ˈ iː tʃ ə ɹ ɪ ŋ; featuring
k ɹ ˈ uː; crew
ɹ ˈ iː tʃ; reach
m ˈ ɛ θ ə d; method
g ˈ ɪ v ɪ ŋ; giving
d aɪ ɹ ˈ ɛ k ʃ ə n; direction
dʒ ˈ æ k; jack jacques
ɪ n v ˈ aɪ ɹ ə n m ə n t; environment
s ˈ əʊ l ˌ əʊ; solo
ɹ ɪ l ˈ eɪ ʃ ə n z; relations
w ˈ aɪ d l i; widely
dʒ ˈ əʊ n z; jones
p ɹ ˈ ɒ d ʌ k t; product
s k w ˈ ɒ d ɹ ə n; squadron
ˈ ɒ f ə z; offers
ˈ eɪ ʃ ə; asia
l ˈ ɛ t ə; letter
ˈ ɔː g ə n ˌ aɪ z d; organised organized
m ˈ aʊ n t; mount
s t ˈ ɔː; store
ə s ˈ aɪ n d; assigned
s t ˈ ɒ p; stop
n ˈ iː d ɪ d; needed
h ˌ ɛ d k w ˈ ɔː t ə z; headquarters
t ɹ ˈ aɪ l; trial
d ɪ s t ɹ ˈ ɔɪ d; destroyed
ə t ˈ ɛ n ʃ ə n; attention
d ɹ ˈ aɪ v; drive
p ɹ ə t ˈ ɛ k ʃ ə n; protection
k ˈ ʌ m ɪ ŋ; coming
ɪ k s tʃ ˈ eɪ n dʒ; exchange
k ə m p ˈ ɛə d; compared
ˈ ɛ p ɪ s ˌ əʊ d z; episodes
ə b ˈ ɪ l ɪ t i; ability
k ˈ ɒ n s ɛ p t; concept
l ˈ iː v z; leaves
b ˈ ɪ l d; build
d ɪ f ˈ iː t; defeat
tʃ ˈ ɑː dʒ; charge
ə n ˈ æ l ɪ s ɪ s; analysis
ɪ k s ˈ ɛ p t; except
f ˈ ɔː w ə d; forward
l ˈ ɑː dʒ l i; largely
k ˈ ɑː z; cars
k ˈ ɒ m ə d i; comedy
dʒ ˈ ɔɪ n; join
ə d ˈ ɒ p t ɪ d; adopted
s ˈ ɜː v z; serves
w ˈ ɛ b s ˌ aɪ t; website
t ˈ ɛ k n ɪ k ə l; technical
ˈ eɪ dʒ ə n s i; agency
ɹ ˈ əʊ l z; roles rolls
g ˈ æ s; gas
d ˈ ʌ b ə l; double
g ˈ eɪ n d; gained
d ˈ ɪ s t ə n s; distance
ə p ɹ ˈ əʊ tʃ; approach
k l ˈ ɪə; clear
m ˈ ɔː n ɪ ŋ; morning
ə m ˈ aʊ n t; amount
dʒ ˈ ɔː dʒ ə; georgia
g ɪ t ˈ ɑː; guitar
ɹ ɪ v j ˈ uː z; reviews
tʃ ˈ æ m p ɪə n z; champions
s ə p ɹ ˈ iː m; supreme
h ˈ əʊ l d; hold
f l ˈ ɔː; flaw floor
ˈ ɛ s t ɪ m ˌ eɪ t ɪ d; estimated
p ˈ ɒ l ɪ ʃ; polish
g ˈ əʊ l d ə n; golden
b l ˈ ʌ d; blood
ə k s ˈ ɛ p t ɪ d; accepted
m ˈ ɒ d ə l z; models
k ˈ æ p tʃ ə d; captured
ˌ æ l ɪ g z ˈ ɑː n d ə; alexander
ˌ ɔː g ə n aɪ z ˈ eɪ ʃ ə n z; organisations organizations
ˈ æ k t ɹ ɪ s; actress
s ˈ ɪ d n i; sydney
ɹ ˈ eɪ l ɹ ˌ əʊ d; railroad
f ˈ ɜː m; firm
ˈ æ k tʃ ʊə l i; actually
ɹ ɪ s p ˈ ɛ k t ɪ v l i; respectively
h ˈ ɛ ɹ ɪ t ɪ dʒ; heritage
s ˈ eɪ f t i; safety
ə l ˈ əʊ n; alone
t ɹ ˈ æ v ə l; travel
ə g ɹ ˈ iː d; agreed
t ˈ æ k s; tax
d ɪ k l ˈ ɛə d; declared
ə p l ˈ aɪ d; applied
ˈ aɪ ə n; ion iron
d ˈ ɛ n s ɪ t i; density
p ɹ ˈ ɒ b l ə m; problem
f ˈ ɪ g ə; figure
k ɹ ˈ ɪ k ɪ t; cricket
n ˈ əʊ t s; notes
p ɹ ˈ ɪ n s ɪ p ə l; principal principle
b l ˈ ɒ k; bloc block
dʒ ˈ ɒ n s ə n; johnson
w ˈ ɪ l j ə m z; williams
ˈ ɪ z ɹ eɪ l; israel
θ ˈ ɪ ŋ z; things
ˈ ɪ m p æ k t; impact
s ˈ ɪ tʃ ʊə t ɪ d; situated
h ˈ ɑː d; hard
f ˈ aɪ t ɪ ŋ; fighting
s ˈ eɪ l z; sales
f ˈ ɛ l; fell
p ɹ ˈ ɛ ʃ ə; pressure
p ə z ˈ ɪ ʃ ə n z; positions
s ˈ ʌ f ə d; suffered
m ˈ ɪ k s t; mixed
p ɹ ˈ ɛ m ɪə; premier
ɹ ˈ ɛ k ə g n ˌ aɪ z d; recognised recognized
f ɹ ˈ æ ŋ k; frank
t ˈ iː tʃ ɪ ŋ; teaching
dʒ ˈ ɔɪ n t; joint
f ˈ ɪ ʃ; fish
t ˈ aɪ t ə l z; titles
s ˈ ʌ n z; sons
ˌ ɪ l ɪ n ˈ ɔɪ; illinois
k ˈ ʌ l ə; color colour
k l ˈ aɪ m ɪ t; climate
ˌ ɪ n d ɪ p ˈ ɛ n d ə n s; independence
n ˈ ɒ l ɪ dʒ; knowledge
t ɹ ˈ æ f ɪ k; traffic
b ˈ ʌ s; bus
p l ˈ ɑː n t s; plants
f ˈ iː t; feat feet
d ˈ ɪ f ɪ k ə l t; difficult
m ˈ aʊ n t ɪ n z; mountains
d j ˈ uː k; duke
t ɹ ˈ iː; tree
ə k ˈ aʊ n t; account
p ˈ ɑː t i z; parties
p ˈ eɪ; pay
ə l ˈ ɪ m p ɪ k; olympic
ˈ ɑː m z; arms
d ˈ ɛ p j ʊ t i; deputy
ə k ˈ ɜː d; occurred
g ˈ ɜː l z; girls
dʒ ɪ ˈ ɒ g ɹ ə f i; geography
ɹ ɪ m ˈ eɪ n; remain
k ə n t ˈ ɛ n t; content
ɹ ˈ əʊ z; rose rows
k ɹ iː ˈ eɪ ʃ ə n; creation
j ˈ ɑː d z; yards
p l ˈ æ t f ˌ ɔː m; platform
p ɹ ˈ ɛ z ə n s; presence
p ə f ˈ ɔː m ə n s ɪ z; performances
d ɹ ˈ ɑː f t; draft draught
ɹ ɪ s ˈ ɔː s ɪ z; resources
ɪ ɹ ˈ ɑː n; iran
g ɹ ˈ əʊ ɪ ŋ; growing
ɹ ɪ z ˈ ʌ l t ɪ d; resulted
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ə t ɪ v z; representatives
h ˈ əʊ s t ɪ d; hosted
m; mm
k ə n t ˈ ɪ n j uː z; continues
d ɹ ˈ ɔː; draw
t ˈ iː tʃ ə; teacher
t ˈ aɪ t ə l d; titled
ɪ k s p ˈ æ n d ɪ d; expanded
s ˈ aɪ t s; sights sites
ˈ ɒ n ə; honor honour
