'cos; k ˈ ə z
dick; d ˈ ɪ k
dickhead; d ˈ ɪ k h ˌ ɛ d
dicks; d ˈ ɪ k s
dictate; d ɪ k t ˈ eɪ t
dictionaries; d ˈ ɪ k ʃ ə n ə ɹ i z
dictionary; d ˈ ɪ k ʃ ə n ə ɹ i
did; d ɪ d
did; d ˈ ɪ d
didcot; d ˈ ɪ d k ə t
didcot; d ˈ ɪ d k ɒ t
didn't; d ˈ ɪ d n t
die; d ˈ aɪ
died; d ˈ aɪ d
diego; d ɪ ˈ eɪ g əʊ
dies; d ˈ aɪ z
diesel; d ˈ iː z ə l
diet; d ˈ aɪ ə t
dietary; d ˈ aɪ ə t ə ɹ i
diff; d ˈ ɪ f
differ; d ˈ ɪ f ə
difference; d ˈ ɪ f ɹ ə n s
difference; d ˈ ɪ f ə ɹ ə n s
differences; d ˈ ɪ f ɹ ə n s ɪ z
differences; d ˈ ɪ f ə ɹ ə n s ɪ z
different; d ˈ ɪ f ɹ ə n t
different; d ˈ ɪ f ə ɹ ə n t
differential; d ˌ ɪ f ə ɹ ˈ ɛ n ʃ ə l
differentiate; d ˌ ɪ f ə ɹ ɛ n t͡ʃ ɪ ˈ eɪ t
differentiation; d ˌ ɪ f ə ɹ ɛ n t͡ʃ ɪ ˈ eɪ ʃ ə n
differently; d ˈ ɪ f ɹ ə n t l i
differently; d ˈ ɪ f ə ɹ ə n t l i
difficult; d ˈ ɪ f ɪ k ə l t
difficulties; d ˈ ɪ f ɪ k ə l t i z
difficulty; d ˈ ɪ f ɪ k ə l t i
diffs; d ˈ ɪ f s
diffusion; d ɪ f j ˈ uː ʒ ə n
dig; d ˈ ɪ g
digest; d aɪ d͡ʒ ˈ ɛ s t
digest; d ɪ d͡ʒ ˈ ɛ s t
digest; d ˈ aɪ d͡ʒ ɛ s t
digger; d ˈ ɪ g ə
digging; d ˈ ɪ g ɪ ŋ
digit; d ˈ ɪ d͡ʒ ɪ t
digital; d ˈ ɪ d͡ʒ ɪ t ə l
dignity; d ˈ ɪ g n ɪ t i
dilate; d ˌ aɪ l ˌ eɪ t
dilated; d ˌ aɪ l ˌ eɪ t ɪ d
dildo; d ˈ ɪ l d əʊ
dildos; d ˈ ɪ l d əʊ z
dilemma; d ɪ l ˈ ɛ m ə
dill; d ˈ ɪ l
dilute; d aɪ l ˈ uː t
diluted; d aɪ l ˈ uː t ɪ d
dilutes; d aɪ l ˈ uː t s
dim; d ˈ ɪ m
dime; d ˈ aɪ m
dimension; d aɪ m ˈ ɛ n ʃ ə n
dimension; d ɪ m ˈ ɛ n ʃ ə n
dimensional; d aɪ m ˈ ɛ n ʃ ə n ə l
dimensional; d ɪ m ˈ ɛ n ʃ ə n ə l
dimensions; d aɪ m ˈ ɛ n ʃ ə n z
dimensions; d ɪ m ˈ ɛ n ʃ ə n z
diminish; d ɪ m ˈ ɪ n ɪ ʃ
dimly; d ˈ ɪ m l i
dimple; d ˈ ɪ m p ə l
din; d ˈ ɪ n
dine; d ˈ aɪ n
diner; d ˈ aɪ n ə
ding; d ˈ ɪ ŋ
dinghy; d ˈ ɪ ŋ i
dingy; d ˈ ɪ n d͡ʒ i
dining; d ˈ aɪ n ɪ ŋ
dinner; d ˈ ɪ n ə
dinners; d ˈ ɪ n ə z
dioxide; d aɪ ˈ ɒ k s ˌ aɪ d
dip; d ˈ ɪ p
diphthong; d ˈ ɪ f θ ɒ ŋ
diphthong; d ˈ ɪ p θ ɒ ŋ
diploma; d ɪ p l ˈ əʊ m ə
diplomatic; d ˌ ɪ p l ə m ˈ æ t ɪ k
dire; d ˈ aɪ ə
direct; d aɪ ɹ ˈ ɛ k t
direct; d ɪ ɹ ˈ ɛ k t
directed; d aɪ ɹ ˈ ɛ k t ɪ d
directed; d ɪ ɹ ˈ ɛ k t ɪ d
direction; d aɪ ɹ ˈ ɛ k ʃ ə n
direction; d ɪ ɹ ˈ ɛ k ʃ ə n
directions; d aɪ ɹ ˈ ɛ k ʃ ə n z
directions; d ɪ ɹ ˈ ɛ k ʃ ə n z
directive; d aɪ ɹ ˈ ɛ k t ɪ v
directive; d ɪ ɹ ˈ ɛ k t ɪ v
directly; d aɪ ɹ ˈ ɛ k t l i
directly; d ɪ ɹ ˈ ɛ k t l i
director; d aɪ ɹ ˈ ɛ k t ə
director; d ɪ ɹ ˈ ɛ k t ə
directories; d aɪ ɹ ˈ ɛ k t ə ɹ i z
directories; d ɪ ɹ ˈ ɛ k t ə ɹ i z
directors; d aɪ ɹ ˈ ɛ k t ə z
directors; d ɪ ɹ ˈ ɛ k t ə z
directory; d aɪ ɹ ˈ ɛ k t ə ɹ i
directory; d ɪ ɹ ˈ ɛ k t ə ɹ i
dirge; d ˈ ɜː d͡ʒ
dirigible; d ɪ ɹ ˈ ɪ d͡ʒ ɪ b ə l
dirk; d ˈ ɜː k
dirt; d ˈ ɜː t
dirty; d ˈ ɜː t i
disabilities; d ɪ s ə b ˈ ɪ l ɪ t i z
disability; d ˌ ɪ s ə b ˈ ɪ l ɪ t i
disable; d ɪ s ˈ eɪ b ə l
disabled; d ɪ s ˈ eɪ b ə l d
disadvantage; d ˌ ɪ s ə d v ˈ ɑː n t ɪ d͡ʒ
disagree; d ɪ s ə g ɹ ˈ iː
disagreement; d ɪ s ə g ɹ ˈ iː m ə n t
disappear; d ˌ ɪ s ə p ˈ ɪə
disappeared; d ˌ ɪ s ə p ˈ ɪə d
disappointed; d ˌ ɪ s ə p ˈ ɔɪ n t ɪ d
disappointment; d ˌ ɪ s ə p ˈ ɔɪ n t m ə n t
disaster; d ɪ z ˈ ɑː s t ə
disastrous; d ɪ z ˈ ɑː s t ɹ ə s
disc; d ˈ ɪ s k
discard; d ɪ s k ˈ ɑː d
discharge; d ˈ ɪ s t͡ʃ ˌ ɑː d͡ʒ
discharge; d ɪ s t͡ʃ ˈ ɑː d͡ʒ
disciple; d ɪ s ˈ aɪ p ə l
disciplinary; d ˈ ɪ s ɪ p l ˌ ɪ n ə ɹ i
discipline; d ˈ ɪ s ɪ p l ɪ n
disciplines; d ˈ ɪ s ɪ p l ɪ n z
disclaimer; d ɪ s k l ˈ eɪ m ə
disclaimers; d ɪ s k l ˈ eɪ m ə z
disclose; d ɪ s k l ˈ əʊ z
disclosure; d ɪ s k l ˈ əʊ ʒ ə
disco; d ˈ ɪ s k əʊ
discomfort; d ɪ s k ˈ ʌ m f ə t
discount; d ˈ ɪ s k aʊ n t
discount; d ɪ s k ˈ aʊ n t
discounted; d ˈ ɪ s k ˌ aʊ n t ɪ d
discounts; d ˈ ɪ s k ˌ aʊ n t s
discounts; d ɪ s k ˈ aʊ n t s
discourage; d ɪ s k ˈ ʌ ɹ ɪ d͡ʒ
discourse; d ˈ ɪ s k ɔː s
discover; d ɪ s k ˈ ʌ v ə
discovered; d ɪ s k ˈ ʌ v ə d
discovery; d ɪ s k ˈ ʌ v ɹ i
discovery; d ɪ s k ˈ ʌ v ə ɹ i
discrete; d ɪ s k ɹ ˈ iː t
discretion; d ɪ s k ɹ ˈ ɛ ʃ ə n
discriminate; d ɪ s k ɹ ˈ ɪ m ɪ n ˌ eɪ t
discriminate; d ɪ s k ɹ ˈ ɪ m ɪ n ɪ t
discrimination; d ɪ s k ɹ ˌ ɪ m ɪ n ˈ eɪ ʃ ə n
discs; d ˈ ɪ s k s
discuss; d ɪ s k ˈ ʌ s
discussed; d ɪ s k ˈ ʌ s t
discusses; d ɪ s k ˈ ʌ s ɪ z
discussing; d ɪ s k ˈ ʌ s ɪ ŋ
discussion; d ɪ s k ˈ ʌ ʃ ə n
discussions; d ɪ s k ˈ ʌ ʃ ə n z
disease; d ɪ z ˈ iː z
diseases; d ɪ z ˈ iː z ɪ z
disfunctional; d ɪ s f ˈ ʌ ŋ k ʃ ə n ə l
disgrace; d ɪ s g ɹ ˈ eɪ s
disguise; d ɪ s g ˈ aɪ z
disgusting; d ɪ s g ˈ ʌ s t ɪ ŋ
dish; d ˈ ɪ ʃ
dishes; d ˈ ɪ ʃ ɪ z
dishwasher; d ˈ ɪ ʃ w ˌ ɒ ʃ ə
disingenious; d ˌ ɪ s ɪ n d͡ʒ ˈ ɛ n j ʊə s
disjunction; d ɪ s d͡ʒ ˈ ʌ ŋ k ʃ ə n
disk; d ˈ ɪ s k
disks; d ˈ ɪ s k s
dislike; d ɪ s l ˈ aɪ k
dismantle; d ɪ s m ˈ æ n t ə l
dismiss; d ɪ s m ˈ ɪ s
dismissal; d ɪ s m ˈ ɪ s ə l
dismissed; d ɪ s m ˈ ɪ s t
disney; d ˈ ɪ z n i
disorder; d ɪ s ˈ ɔː d ə
disorders; d ɪ s ˈ ɔː d ə z
dispatch; d ɪ s p ˈ æ t͡ʃ
dispatched; d ɪ s p ˈ æ t͡ʃ t
dispel; d ɪ s p ˈ ɛ l
dispense; d ɪ s p ˈ ɛ n s
disperse; d ɪ s p ˈ ɜː s
displace; d ɪ s p l ˈ eɪ s
displaced; d ɪ s p l ˈ eɪ s t
displacement; d ɪ s p l ˈ eɪ s m ə n t
display; d ɪ s p l ˈ eɪ
displayed; d ɪ s p l ˈ eɪ d
displaying; d ɪ s p l ˈ eɪ ɪ ŋ
displays; d ɪ s p l ˈ eɪ z
disposal; d ɪ s p ˈ əʊ z ə l
dispose; d ɪ s p ˈ əʊ z
disposition; d ˌ ɪ s p ə z ˈ ɪ ʃ ə n
disprove; d ɪ s p ɹ ˈ uː v
disproved; d ɪ s p ɹ ˈ uː v d
disproven; d ɪ s p ɹ ˈ uː v ə n
dispute; d ɪ s p j ˈ uː t
disputes; d ɪ s p j ˈ uː t s
disregard; d ˌ ɪ s ɹ ɪ g ˈ ɑː d
disrupt; d ɪ s ɹ ˈ ʌ p t
disruption; d ɪ s ɹ ˈ ʌ p ʃ ə n
dissection; d aɪ s ˈ ɛ k ʃ ə n
dissection; d ɪ s ˈ ɛ k ʃ ə n
dissemination; d ɪ s ˌ ɛ m ɪ n ˈ eɪ ʃ ə n
dissertation; d ɪ s ə t ˈ eɪ ʃ ə n
dissipate; d ˈ ɪ s ɪ p ˌ eɪ t
dissolution; d ˌ ɪ s ə l ˈ uː ʃ ə n
dissolve; d ɪ z ˈ ɒ l v
distance; d ˈ ɪ s t ə n s
distances; d ˈ ɪ s t ə n s ɪ z
distant; d ˈ ɪ s t ə n t
distinct; d ɪ s t ˈ ɪ ŋ k t
distinction; d ɪ s t ˈ ɪ ŋ k ʃ ə n
distinctions; d ɪ s t ˈ ɪ ŋ k ʃ ə n z
distinctive; d ɪ s t ˈ ɪ ŋ k t ɪ v
distinctly; d ɪ s t ˈ ɪ ŋ k t l i
distinguish; d ɪ s t ˈ ɪ ŋ g w ɪ ʃ
distinguished; d ɪ s t ˈ ɪ ŋ g w ɪ ʃ t
distort; d ɪ s t ˈ ɔː t
distract; d ɪ s t ɹ ˈ æ k t
distracted; d ɪ s t ɹ ˈ æ k t ɪ d
distress; d ɪ s t ɹ ˈ ɛ s
distribute; d ɪ s t ɹ ˈ ɪ b j uː t
distributed; d ɪ s t ɹ ˈ ɪ b j ʊ t ɪ d
distribution; d ˌ ɪ s t ɹ ɪ b j ˈ uː ʃ ə n
distributions; d ˌ ɪ s t ɹ ɪ b j ˈ uː ʃ ə n z
distributor; d ɪ s t ɹ ˈ ɪ b j ʊ t ə
distributors; d ɪ s t ɹ ˈ ɪ b j ʊ t ə z
district; d ˈ ɪ s t ɹ ɪ k t
districts; d ˈ ɪ s t ɹ ɪ k t s
disturb; d ɪ s t ˈ ɜː b
disturbance; d ɪ s t ˈ ɜː b ə n s
disturbed; d ɪ s t ˈ ɜː b d
disturbing; d ɪ s t ˈ ɜː b ɪ ŋ
ditch; d ˈ ɪ t͡ʃ
div; d ˈ ɪ v
dive; d ˈ aɪ v
dived; d ˈ aɪ v d
diver; d ˈ aɪ v ə
diverse; d aɪ v ˈ ɜː s
diverse; d ˈ aɪ v ɜː s
diversity; d aɪ v ˈ ɜː s ɪ t i
divert; d ˈ aɪ v ɜː t
divide; d ɪ v ˈ aɪ d
divided; d ɪ v ˈ aɪ d ɪ d
dividend; d ˈ ɪ v ɪ d ˌ ɛ n d
dividends; d ˈ ɪ v ɪ d ˌ ɛ n d z
divine; d ɪ v ˈ aɪ n
diving; d ˈ aɪ v ɪ ŋ
division; d ɪ v ˈ ɪ ʒ ə n
divisions; d ɪ v ˈ ɪ ʒ ə n z
divorce; d ɪ v ˈ ɔː s
divorced; d ɪ v ˈ ɔː s t
dizzy; d ˈ ɪ z i
do; d ˈ uː
doc; d ˈ ɒ k
dock; d ˈ ɒ k
docs; d ˈ ɒ k s
doctor; d ˈ ɒ k t ə
doctoral; d ˈ ɒ k t ə ɹ ə l
doctors; d ˈ ɒ k t ə z
doctrine; d ˈ ɒ k t ɹ ɪ n
document; d ˈ ɒ k j ʊ m ɛ n t
document; d ˈ ɒ k j ʊ m ə n t
documentary; d ˌ ɒ k j ʊ m ˈ ɛ n t ə ɹ i
documentation; d ˌ ɒ k j ʊ m ɛ n t ˈ eɪ ʃ ə n
documented; d ˈ ɒ k j ʊ m ˌ ɛ n t ɪ d
documents; d ˈ ɒ k j ʊ m ɛ n t s
documents; d ˈ ɒ k j ʊ m ə n t s
dodge; d ˈ ɒ d͡ʒ
dodgy; d ˈ ɒ d͡ʒ i
dodo; d ˈ əʊ d əʊ
doe; d ˈ əʊ
doer; d ˈ uː ə
does; d ə z
does; d ˈ ʌ z
does; d ˈ əʊ z
doesn't; d ˈ ʌ z ə n t
dog; d ˈ ɒ g
doggy; d ˈ ɒ g i
dogma; d ˈ ɒ g m ə
dogs; d ˈ ɒ g z
doing; d ˈ uː ɪ ŋ
dole; d ˈ əʊ l
doll; d ˈ ɒ l
dollar; d ˈ ɒ l ə
dollars; d ˈ ɒ l ə z
dolls; d ˈ ɒ l z
dolly; d ˈ ɒ l i
dolphin; d ˈ ɒ l f ɪ n
dolphins; d ˈ ɒ l f ɪ n z
domain; d ə m ˈ eɪ n
domain; d əʊ m ˈ eɪ n
domains; d əʊ m ˈ eɪ n z
domains; d ə m ˈ eɪ n z
dome; d ˈ əʊ m
domestic; d ə m ˈ ɛ s t ɪ k
dominance; d ˈ ɒ m ɪ n ə n s
dominant; d ˈ ɒ m ɪ n ə n t
dominate; d ˈ ɒ m ɪ n ˌ eɪ t
dominated; d ˈ ɒ m ɪ n ˌ eɪ t ɪ d
domination; d ˌ ɒ m ɪ n ˈ eɪ ʃ ə n
dominican; d ə m ˈ ɪ n ɪ k ə n
domino; d ˈ ɒ m ɪ n ˈ əʊ
don; d ˈ ɒ n
don't; d ˈ əʊ n t
donald; d ˈ ɒ n ə l d
donate; d ˈ əʊ n ˌ eɪ t
donated; d ˈ əʊ n ˌ eɪ t ɪ d
donation; d əʊ n ˈ eɪ ʃ ə n
donations; d əʊ n ˈ eɪ ʃ ə n z
done; d ˈ ʌ n
donkey; d ˈ ɒ ŋ k i
donna; d ˈ ɒ n ə
donor; d ˈ əʊ n ə
donors; d ˈ əʊ n ə z
donut; d ˈ əʊ n ˌ ʌ t
doom; d ˈ uː m
door; d ˈ ɔː
doorbell; d ˈ ɔː b ˌ ɛ l
doors; d ˈ ɔː z
doorway; d ˈ ɔː w ˌ eɪ
dope; d ˈ əʊ p
doreen; d ə ɹ ˈ iː n
doris; d ˈ ɒ ɹ ɪ s
dormant; d ˈ ɔː m ə n t
dormice; d ˈ ɔː m ˌ aɪ s
dormouse; d ˈ ɔː m ˌ aʊ s
dorothy; d ˈ ɒ ɹ ə θ i
dorset; d ˈ ɔː s ɪ t
dos; d ˈ ɒ s
dosage; d ˈ əʊ s ɪ d͡ʒ
dose; d ˈ əʊ s
dot; d ˈ ɒ t
doth; d ˈ uː θ
double; d ˈ ʌ b ə l
doubly; d ˈ ʌ b l i
doubt; d ˈ aʊ t
doubtful; d ˈ aʊ t f ə l
doubtless; d ˈ aʊ t l ɪ s
doubts; d ˈ aʊ t s
doug; d ˈ ʌ g
dough; d ˈ əʊ
doughnut; d ˈ əʊ n ˌ ʌ t
doughty; d ˈ aʊ t i
douglas; d ˈ ʌ g l ə s
dour; d ˈ aʊ ə
dour; d ˈ ʊə
dove; d ˈ ʌ v
dover; d ˈ əʊ v ə
down; d ˈ aʊ n
download; d ˈ aʊ n l ˌ əʊ d
downloadable; d ˈ aʊ n l ˌ əʊ d ɪ b ə l
downloaded; d ˈ aʊ n l ˌ əʊ d ɪ d
downloading; d ˈ aʊ n l ˌ əʊ d ɪ ŋ
downloads; d ˈ aʊ n l ˌ əʊ d z
downstairs; d ˈ aʊ n s t ˌ ɛə z
downstairs; d aʊ n s t ˈ ɛə z
downtown; d ˈ aʊ n t ˌ aʊ n
downward; d ˈ aʊ n w ə d
downwards; d ˈ aʊ n w ə d z
dowry; d ˈ aʊ ɹ i
dowry; d ˈ aʊ ə ɹ i
doze; d ˈ əʊ z
dozen; d ˈ ʌ z ə n
dozens; d ˈ ʌ z ə n z
drab; d ɹ ˈ æ b
draft; d ɹ ˈ ɑː f t
drag; d ɹ ˈ æ g
dragged; d ɹ ˈ æ g d
dragon; d ɹ ˈ æ g ə n
drain; d ɹ ˈ eɪ n
drainage; d ɹ ˈ eɪ n ɪ d͡ʒ
drake; d ɹ ˈ eɪ k
drama; d ɹ ˈ ɑː m ə
dramatic; d ɹ ə m ˈ æ t ɪ k
dramatically; d ɹ ə m ˈ æ t ɪ k l i
dramatically; d ɹ ə m ˈ æ t ɪ k ə l i
drank; d ɹ ˈ æ ŋ k
drape; d ɹ ˈ eɪ p
drastic; d ɹ ˈ æ s t ɪ k
draught; d ɹ ˈ ɑː f t
draw; d ɹ ˈ ɔː
drawer; d ɹ ˈ ɔː ə
drawers; d ɹ ˈ ɔː ə z
drawing; d ɹ ˈ ɔː ɪ ŋ
drawings; d ɹ ˈ ɔː ɪ ŋ z
drawl; d ɹ ˈ ɔː l
drawn; d ɹ ˈ ɔː n
draws; d ɹ ˈ ɔː z
dread; d ɹ ˈ ɛ d
dreadful; d ɹ ˈ ɛ d f ə l
dream; d ɹ ˈ iː m
dreamed; d ɹ ˈ iː m d
dreaming; d ɹ ˈ iː m ɪ ŋ
dreams; d ɹ ˈ iː m z
dreamt; d ɹ ˈ ɛ m t
dress; d ɹ ˈ ɛ s
dressed; d ɹ ˈ ɛ s t
dresses; d ɹ ˈ ɛ s ɪ z
dressing; d ɹ ˈ ɛ s ɪ ŋ
drew; d ɹ ˈ uː
dried; d ɹ ˈ aɪ d
dries; d ɹ ˈ aɪ z
drift; d ɹ ˈ ɪ f t
drill; d ɹ ˈ ɪ l
drilling; d ɹ ˈ ɪ l ɪ ŋ
drink; d ɹ ˈ ɪ ŋ k
drinking; d ɹ ˈ ɪ ŋ k ɪ ŋ
drinks; d ɹ ˈ ɪ ŋ k s
drip; d ɹ ˈ ɪ p
drive; d ɹ ˈ aɪ v
driven; d ɹ ˈ ɪ v ə n
driver; d ɹ ˈ aɪ v ə
drivers; d ɹ ˈ aɪ v ə z
drives; d ɹ ˈ aɪ v z
driving; d ɹ ˈ aɪ v ɪ ŋ
drone; d ɹ ˈ əʊ n
drool; d ɹ ˈ uː l
droop; d ɹ ˈ uː p
drop; d ɹ ˈ ɒ p
dropped; d ɹ ˈ ɒ p t
dropping; d ɹ ˈ ɒ p ɪ ŋ
drops; d ɹ ˈ ɒ p s
drought; d ɹ ˈ aʊ t
drove; d ɹ ˈ əʊ v
drown; d ɹ ˈ aʊ n
drowned; d ɹ ˈ aʊ n d
drug; d ɹ ˈ ʌ g
drugs; d ɹ ˈ ʌ g z
drum; d ɹ ˈ ʌ m
drums; d ɹ ˈ ʌ m z
drunk; d ɹ ˈ ʌ ŋ k
dry; d ɹ ˈ aɪ
dryer; d ɹ ˈ aɪ ə
dual; d j ˈ uː ə l
dub; d ˈ ʌ b
dubai; d uː b ˈ aɪ
dubious; d j ˈ uː b ɪə s
dublin; d ˈ ʌ b l ɪ n
duck; d ˈ ʌ k
ducks; d ˈ ʌ k s
dud; d ˈ ʌ d
dude; d ˈ uː d
dudley; d ˈ ʌ d l i
due; d j ˈ uː
duel; d j ˈ uː ə l
dues; d j ˈ uː z
duet; d j uː ˈ ɛ t
dug; d ˈ ʌ g
duh; d ˈ ɜː
duke; d j ˈ uː k
dull; d ˈ ʌ l
dulwich; d ˈ ʌ l ɪ t͡ʃ
duly; d j ˈ uː l i
dumb; d ˈ ʌ m
dumfries; d ʌ m f ɹ ˈ iː s
dummy; d ˈ ʌ m i
dump; d ˈ ʌ m p
dumped; d ˈ ʌ m p t
dumplings; d ˈ ʌ m p l ɪ ŋ z
dun; d ˈ ʌ n
dunbartonshire; d ʌ n b ˈ ɑː t ə n ʃ ə
duncan; d ˈ ʌ ŋ k ə n
dundee; d ʌ n d ˈ iː
dune; d j ˈ uː n
dung; d ˈ ʌ ŋ
dungeon; d ˈ ʌ n d͡ʒ ə n
dunk; d ˈ ʌ ŋ k
duo; d j ˈ uː əʊ
dupe; d j ˈ uː p
duplicate; d j ˈ uː p l ɪ k ɪ t
duplicate; d j ˈ uː p l ɪ k ˌ eɪ t
durable; d j ˈ ʊə ɹ ə b ə l
duration; d j ʊ ɹ ˈ eɪ ʃ ə n
durham; d ˈ ʌ ɹ ə m
during; d j ˈ ʊə ɹ ɪ ŋ
dusk; d ˈ ʌ s k
dust; d ˈ ʌ s t
dustbin; d ˈ ʌ s t b ɪ n
dusty; d ˈ ʌ s t i
dutch; d ˈ ʌ t͡ʃ
duties; d j ˈ uː t i z
duty; d j ˈ uː t i
duvet; d ˈ uː v eɪ
dwarf; d w ˈ ɔː f
dwarfs; d w ˈ ɔː f s
dwarves; d w ˈ ɔː v z
dwell; d w ˈ ɛ l
dwelled; d w ˈ ɛ l d
dwelling; d w ˈ ɛ l ɪ ŋ
dwellings; d w ˈ ɛ l ɪ ŋ z
dwelt; d w ˈ ɛ l t
dye; d aɪ
dyed; d aɪ d
dyeing; d ˈ aɪ ɪ ŋ
dyes; d aɪ z
dying; d ˈ aɪ ɪ ŋ
dyke; d ˈ aɪ k
dylan; d ˈ ɪ l ə n
dynamic; d aɪ n ˈ æ m ɪ k
dynamics; d aɪ n ˈ æ m ɪ k s
dynamite; d ˈ aɪ n ə m ˌ aɪ t
dynasty; d ˈ ɪ n ə s t i
e; ˈ iː
e's; ˈ iː z
each; ˈ iː t͡ʃ
eager; ˈ iː g ə
eagle; ˈ iː g ə l
eagles; ˈ iː g ə l z
ealing; ˈ iː l ɪ ŋ
ear; ˈ ɪə
earl; ˈ ɜː l
earlier; ˈ ɜː l ɪə
earliest; ˈ ɜː l ɪə s t
early; ˈ ɜː l i
earn; ˈ ɜː n
earned; ˈ ɜː n d
earning; ˈ ɜː n ɪ ŋ
earnings; ˈ ɜː n ɪ ŋ z
earphones; ˈ ɪə f ˌ əʊ n z
earrings; ˈ ɪə ɹ ɪ ŋ z
ears; ˈ ɪə z
earth; ˈ ɜː θ
earthquake; ˈ ɜː θ k w ˌ eɪ k
ease; ˈ iː z
easier; ˈ iː z iː ə
easiest; ˈ iː z i ɪ s t
easily; ˈ iː z ɪ l i
east; ˈ iː s t
eastbourne; ˈ iː s t b ˌ ɔː n
eastenders; ˈ iː s t ˌ ɛ n d ə z
easter; ˈ iː s t ə
eastern; ˈ iː s t ə n
easy; ˈ iː z i
eat; ˈ iː t
eaten; ˈ iː t ə n
eating; ˈ iː t ɪ ŋ
eats; ˈ iː t s
eave; ˈ iː v
eaves; ˈ iː v z
eavesdrop; ˈ iː v z d ɹ ˌ ɒ p
ebay; ˈ iː b ˌ eɪ
ebb; ˈ ɛ b
ebony; ˈ ɛ b ə n i
ebooks; ˈ iː b ˌ ʊ k s
ecclesiastical; ɪ k l ɪ z ɪ ˈ æ s t ɪ k ə l
echo; ˈ ɛ k əʊ
echoes; ˈ ɛ k əʊ z
ecks; ˈ ɛ k s
eckses; ˈ ɛ k s ɪ z
eclipse; ɪ k l ˈ ɪ p s
eco; ˈ iː k əʊ
eco; ˈ ɛ k əʊ
ecological; ˌ iː k ə l ˈ ɒ d͡ʒ ɪ k ə l
ecological; ˌ ɛ k ə l ˈ ɒ d͡ʒ ɪ k ə l
ecology; ɪ k ˈ ɒ l ə d͡ʒ i
ecommerce; ˈ iː k ˌ ɒ m ɜː s
economic; ˌ iː k ə n ˈ ɒ m ɪ k
economic; ˌ ɛ k ə n ˈ ɒ m ɪ k
economically; ˌ ɛ k ə n ˈ ɒ m ɪ k l i
economically; ˌ iː k ə n ˈ ɒ m ɪ k l i
economics; ˌ iː k ə n ˈ ɒ m ɪ k s
economics; ˌ ɛ k ə n ˈ ɒ m ɪ k s
economies; ɪ k ˈ ɒ n ə m i z
economist; ɪ k ˈ ɒ n ə m ɪ s t
economists; ɪ k ˈ ɒ n ə m ɪ s t s
economy; ɪ k ˈ ɒ n ə m i
ecstasy; ˈ ɛ k s t ə s i
ecstatic; ɛ k s t ˈ æ t ɪ k
ecuador; ˈ ɛ k w ə d ˌ ɔː
eddie; ˈ ɛ d i
eden; ˈ iː d ə n
edgar; ˈ ɛ d g ə
edge; ˈ ɛ d͡ʒ
edges; ˈ ɛ d͡ʒ ɪ z
edgy; ˈ ɛ d͡ʒ i
edinburgh; ˈ ɛ d ɪ n b ɹ ə
edit; ˈ ɛ d ɪ t
edited; ˈ ɛ d ɪ t ɪ d
edith; ˈ iː d ɪ θ
editing; ˈ ɛ d ɪ t ɪ ŋ
edition; ɪ d ˈ ɪ ʃ ə n
editions; ɪ d ˈ ɪ ʃ ə n z
editor; ˈ ɛ d ɪ t ə
editorial; ˌ ɛ d ɪ t ˈ ɔː ɹ ɪə l
editorials; ˌ ɛ d ɪ t ˈ ɔː ɹ ɪə l z
editors; ˈ ɛ d ɪ t ə z
edmund; ˈ ɛ d m ə n d
edna; ˈ ɛ d n ə
educate; ˈ ɛ d j ʊ k ˌ eɪ t
educated; ˈ ɛ d j ʊ k ˌ eɪ t ɪ d
education; ˌ ɛ d j ʊ k ˈ eɪ ʃ ə n
educational; ˌ ɛ d j ʊ k ˈ eɪ ʃ ə n ə l
educators; ˈ ɛ d j ʊ k ˌ eɪ t ə z
edward; ˈ ɛ d w ə d
edwards; ˈ ɛ d w ə d z
eerie; ˈ ɪə ɹ i
ef; ˈ ɛ f
effect; ɪ f ˈ ɛ k t
effective; ɪ f ˈ ɛ k t ɪ v
effectively; ɪ f ˈ ɛ k t ɪ v l i
effectiveness; ɪ f ˈ ɛ k t ɪ v n ɪ s
effects; ɪ f ˈ ɛ k t s
effed; ˈ ɛ f t
efficiency; ɪ f ˈ ɪ ʃ ə n s i
efficient; ɪ f ˈ ɪ ʃ ə n t
efficiently; ɪ f ˈ ɪ ʃ ə n t l i
effort; ˈ ɛ f ə t
efforts; ˈ ɛ f ə t s
efs; ˈ ɛ f s
egg; ˈ ɛ g
eggs; ˈ ɛ g z
ego; ˈ iː g əʊ
egypt; ˈ iː d͡ʒ ɪ p t
egyptian; ɪ d͡ʒ ˈ ɪ p ʃ ə n
eh; ˈ eɪ
eight; ˈ eɪ t
eighteen; ˈ eɪ t iː n
eighteen; eɪ t ˈ iː n
eighteenth; ˈ eɪ t iː n θ
eighteenth; eɪ t ˈ iː n θ
eighth; ˈ eɪ t θ
eighties; ˈ eɪ t i z
eights; ˈ eɪ t s
eighty; ˈ eɪ t i
eileen; aɪ l ˈ iː n
eire; ˈ ɛə ɹ ə
either; ˈ aɪ ð ə
either; ˈ iː ð ə
ejaculation; ɪ d͡ʒ ˌ æ k j ʊ l ˈ eɪ ʃ ə n
eject; ɪ d͡ʒ ˈ ɛ k t
el; ˈ ɛ l
elaborate; ɪ l ˈ æ b ə ɹ ɪ t
elaborate; ɪ l ˈ æ b ə ɹ ˌ eɪ t
elaine; ə l ˈ eɪ n
