ð ə; the
s ˈ aʊ n d t ɹ ˌ æ k; soundtrack
s w ˈ ɪ s; swiss
ɹ ˈ eɪ t ɪ ŋ; rating
j ˌ uː n ɪ v ˈ ɜː s ə l; universal
tʃ ˈ ɑː t s; charts
ˈ ɒ ɹ ɪ n dʒ; orange
ˈ əʊ n ə z; owners
p ˈ eɪ n t ɪ d; painted
d ɹ ˈ aɪ v ɪ ŋ; driving
l ˈ eɪ n; lain lane
s ˈ æ m; sam
b ɪ h ˈ eɪ v j ə; behavior behaviour
ə s ˈ əʊ ʃ ɪ ˌ eɪ t; associate
f ˈ eɪ θ; faith
ˌ ɛ l ɪ m ˈ ɛ n t ə ɹ i; elementary
s t ˈ eɪ dʒ ɪ z; stages
θ ˈ aʊ z ə n d z; thousands
m eɪ n t ˈ eɪ n; maintain
m ɛ d ˈ iː v ə l; medieval
ˌ ʌ n d ə s t ˈ æ n d ɪ ŋ; understanding
m ˌ æ n j ʊ f ˈ æ k tʃ ə ɹ ɪ ŋ; manufacturing
p ˈ æ s ə n dʒ ə z; passengers
ə t ˈ æ tʃ t; attached
ə d v ˈ ɑː n t ɪ dʒ; advantage
ə t ˈ ɛ n d; attend
l ˈ æ n d ɪ ŋ; landing
d ɹ ˈ ɔː n; drawn
ɹ ɪ k w ˈ ɛ s t; request
s k ˈ iː m; scheme
h j ˈ uː s t ə n; houston
d ˈ ɒ k j ʊ m ɛ n t s; documents
k ə m ˈ ɪ t ɪ d; committed
s ˈ aɪ m ə n; simon
d ɹ ˈ uː; drew
ə f ˈ ɛ n s ɪ v; offensive
s ˈ iː k w ə n s; sequence
w ˈ ɜː θ; worth
ɹ ɪ dʒ ˈ ɛ k t ɪ d; rejected
m ˌ æ θ ə m ˈ æ t ɪ k s; mathematics
k ə l ˌ æ b ə ɹ ˈ eɪ ʃ ə n; collaboration
d ɪ f ˈ ɛ n s ɪ v; defensive
ˈ æ k s ɪ d ə n t; accident
p ˈ ɑː θ; path
d ˈ ɔː; door
g ˈ ɒ l f; golf
h ˈ ɒ l ɪ w ˌ ʊ d; hollywood
ˈ ʌ ð ə w ˌ aɪ z; otherwise
ˈ æ ɹ ə b; arab
f ˈ ɑː s t; fast
d ɪ s t ˈ ɪ ŋ k t; distinct
h ˈ ɛ d ɪ d; headed
s ˈ ɛ n ə t ə; senator
ˈ ɛ k s t ɹ ə; extra
k ə n t ɹ ˈ ɑː s t; contrast
w ˈ uː n d ɪ d; wounded
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t s; represents
ˈ aɪ z; eyes i's
ɪ n ʃ ˈ ɔː ɹ ə n s; insurance
m ˈ ɛ ʒ ə z; measures
h ˈ æ m ɪ l t ə n; hamilton
ˌ iː k ə n ˈ ɒ m ɪ k s; economics
n ˈ ɔː; gnaw nor
b ˈ ɪ g ɪ s t; biggest
ɪ k s t ɹ ˈ iː m l i; extremely
p ɹ ˈ iː s t; priest
p ˈ ɜː p ə s ɪ z; purposes
k l ˌ æ s ɪ f ɪ k ˈ eɪ ʃ ə n; classification
k ɹ iː ˈ eɪ t ɪ v; creative
s ˈ æ m j ʊə l; samuel
b ˈ ɜː d; bird
s t ˈ ʊ d; stood
m ˈ ɪ n ɪ t; minute
ɹ ɪ s p ˌ ɒ n s ɪ b ˈ ɪ l ɪ t i; responsibility
ˈ ɑː l i; ali
ɹ ɪ p l ˈ eɪ s; replace
tʃ ˈ ɛ k; check cheque czech
f l ˈ aʊ ə z; flowers
l ˌ ɛ dʒ ɪ s l ˈ eɪ ʃ ə n; legislation
d j ˈ uː t i z; duties
m ˈ iː n; mean
tʃ ˈ ɑː dʒ d; charged
ˈ aɪ əʊ ə; iowa
ɹ ɪ t ˈ eɪ n d; retained
d ˈ æ m ɪ dʒ d; damaged
ˈ əʊ n ə ʃ ˌ ɪ p; ownership
ʃ ˈ əʊ ɪ ŋ; showing
d ˈ ɒ g; dog
ˌ ɑː t ˈ ɪ s t ɪ k; artistic
t ɹ ˈ ɪ p; trip
f l ˈ æ t; flat
l uː ˌ iː z ɪ ˈ æ n ə; louisiana
ɹ ɪ k w ˈ aɪ ə; require
w ˈ aɪ l s t; whilst
k w ɪ b ˈ ɛ k; quebec
t ɹ ˈ aɪ z; tries
ˈ ɑː f t ə w ə d z; afterwards
p ˈ eɪ n t ə; painter
d ɪ t ˈ ɜː m ɪ n; determine
p ˌ ɒ p j ʊ l ˈ æ ɹ ɪ t i; popularity
ɪ z ɹ ˈ eɪ l i; israeli
d ɪ l ˈ ɪ v ə d; delivered
t ˈ ɜː n z; turns
dʒ ˈ iː z ə s; jesus
ˈ eɪ dʒ ɪ z; ages
l ˈ ɜː n d; learned
ɹ ˈ ɛ s t ɹ ˌ ɒ n t; restaurant
k ˈ ɒ l ə n i; colony
d ˈ eɪ n ɪ ʃ; danish
ə k ˈ ʌ m p ə n i d; accompanied
ə s j ˈ uː m d; assumed
ɹ ˈ eɪ; ray re
k w ˈ ɒ l ɪ f ˌ aɪ ɪ ŋ; qualifying
p ɹ ə t ˈ ɛ k t ɪ d; protected
s ə b dʒ ˈ ɛ k t s; subjects
ɹ ˈ ʌ f l i; roughly
m ˈ ɛ ʒ ə; measure
f ɹ ˈ ɛ d ɹ ɪ k; frederick
s t ˈ ɛ p; step
d ɪ t ɹ ˈ ɔɪ t; detroit
d ˈ ɪ f ɹ ə n s; difference
s ə v ˈ ɪə; severe
ɪ k w ˈ ɪ v ə l ə n t; equivalent
ə b dʒ ˈ ɛ k t; object
s ˈ æ t ə d i; saturday
ə d m ˈ ɪ t ɪ d; admitted
m ˈ ɑː k ɪ t ɪ ŋ; marketing
t ɹ ˌ æ n s l ˈ eɪ t ɪ d; translated
ɹ ɪ s t ˈ ɔː d; restored
s ˈ ɜː k ə l; circle
d ˈ ɪ f ɹ ə n s ɪ z; differences
k ˌ ɒ m p ɪ t ˈ ɪ ʃ ə n z; competitions
p ˈ ɒ l ɪ s i z; policies
f ˈ ɪ l ɪ p; philip
k ˈ ɪ ŋ z; kings
s ɪ g n ˈ ɪ f ɪ k ə n t l i; significantly
ə ɹ ˈ aɪ v ə l; arrival
l ˈ ɛ g; leg
p ɪ n ˈ ɪ n s j ʊ l ə; peninsula
ɹ ɪ l ˈ iː f; relief
k ˈ ɒ m ɪ k s; comics
b ɹ ˈ eɪ n; brain
h ˈ ɛ d z; heads
w ˈ eɪ v; waive wave
ɪ k s p ˈ ɪə ɹ ɪə n s t; experienced
ɹ ɪ t ˈ ɜː n z; returns
ɹ ɪ s p ˈ ɛ k t; respect
b ɹ ˈ ɔː d; broad
d ˈ eɪ t ɪ ŋ; dating
ə d ˈ æ p t ɪ d; adapted
s t ɹ ˈ æ t ɪ dʒ i; strategy
ˌ eɪ v ɪ ˈ eɪ ʃ ə n; aviation
ˈ æ s p ˌ ɛ k t s; aspects
s ˈ ɛ p ə ɹ ˌ eɪ t ɪ d; separated
n ˈ ɒ v ə l z; novels
ˌ əʊ k l ə h ˈ əʊ m ə; oklahoma
h w ˈ ɑː n; juan
ɹ ˌ ɛ z ə l ˈ uː ʃ ə n; resolution
d ˈ ɔː t ə z; daughters
d ɪ v ˈ aɪ s ɪ z; devices
ˌ ɑː dʒ ə n t ˈ iː n ə; argentina
b j ˈ uː t ɪ f ə l; beautiful
t ɹ ˌ æ n s l ˈ eɪ ʃ ə n; translation
ˈ æ k t ə z; actors
w ˈ ɔː t ə z; waters
b ˈ eɪ b i; baby
t w ˈ ɛ n t i; twenty
l ˈ ɒ s ɪ z; losses
m ˈ ɪ s ɪ ŋ; missing
ɹ ˈ ɛ l ə t ɪ v; relative
t ˈ ɛ s t ɪ ŋ; testing
ˌ æ l ə b ˈ æ m ə; alabama
ˌ ɒ k j ʊ p ˈ eɪ ʃ ə n; occupation
l ˈ ɔɪ ə; lawyer
m ˌ ɪ s ɪ s ˈ ɪ p i; mississippi
k ˈ æ ɹ i ɪ ŋ; carrying
s t ˈ ɒ ɹ ɪ dʒ; storage
v ˈ ɪ ʒ ə n; vision
ˈ ɪ n t ɹ ɪ s t ɪ d; interested
k ˌ əʊ ə l ˈ ɪ ʃ ə n; coalition
ˈ ɪ n s t ɹ ə m ə n t s; instruments
ˈ æ n θ ə n i; anthony
f ˈ ɪ z ɪ k s; physics
p ˈ æ t ə n; pattern
s ˈ əʊ l; sole soul
f ˈ aɪ t ə; fighter
w ˈ ɪ n d əʊ; window
ˈ æ l ˌ aɪ d; allied
k ɹ ˈ aɪ s t; christ
m ˈ æ dʒ ɪ k; magic
b l ˈ uː z; blues
f ˈ aɪ ə d; fired
p ɹ ˈ ɪ n s ɛ s; princess
ɹ ɪ k w ˈ aɪ ə m ə n t s; requirements
d ɪ p ˈ ɛ n d ɪ ŋ; depending
p ɹ ˈ æ k t ɪ s ɪ z; practices
s ə dʒ ˈ ɛ s t s; suggests
ˈ ɛ v ɹ ɪ θ ˌ ɪ ŋ; everything
ˈ æ s ɪ d; acid
w ˈ ɪ ŋ z; wings
d ˈ ʌ g l ə s; douglas
s t ˈ ɒ p t; stopped
dʒ ˈ ɜː n i; journey
ˌ ɪ n f ɹ ə s t ɹ ˈ ʌ k tʃ ə; infrastructure
ɪ n v ˈ ɒ l v ɪ ŋ; involving
ɪ ɹ ˈ ɑː k; iraq
ɹ ˈ ɪ dʒ; ridge
g ˈ aɪ d; guide
ˈ æ n d ə s ə n; anderson
f ˈ ɪ ʃ ɪ ŋ; fishing
ʃ ˈ ɛ dʒ uː l; schedule
t ɛ k n ˈ iː k; technique
s ə l ˈ uː ʃ ə n; solution
p ˈ ɑː t n ə z; partners
k w ˈ ɛ s tʃ ə n z; questions
k ə l ˈ ɛ k ʃ ə n z; collections
k ə n s ˈ ɜː n z; concerns
m ˈ æ p; map
ɹ ˈ eɪ t s; rates
v ˈ ɪ z ɪ t ə z; visitors
f ˈ iː l; feel
ˈ ɪ n ə; inner
b ˈ ɛ l dʒ ə m; belgium
m ˈ ɑː k ɪ t s; markets
dʒ ˈ ɛ n d ə; gender
tʃ ˈ ɑː t ə; charter
d ɪ b ˈ eɪ t; debate
m ˈ uː n; moon
g ˈ ɑː d ə n z; gardens
æ n t ˈ əʊ n ɪ əʊ; antonio
s t ˈ iː m; steam
g ˈ ʌ l f; gulf
ɪ n d ˈ ɪ dʒ ə n ə s; indigenous
d ˈ ʌ b l ɪ n; dublin
g ɹ ˈ eɪ; gray grey
tʃ ˈ aɪ l d h ˌ ʊ d; childhood
ə p ˈ ɪ n j ə n; opinion
m ˈ ɛ n t ə l; mental
s ˈ əʊ ʃ ə l ɪ s t; socialist
k ˈ ɒ n t ɛ k s t; context
t ˈ ɜː m ɪ n ə l; terminal
ˈ ɔː θ ə z; authors
ˈ ɒ n ə z; honors honours
w ˈ ɒ tʃ; watch
s w ˈ ɪ m ɪ ŋ; swimming
ˈ æ d ə m; adam
h ˈ ɑː v ə d; harvard
p ɹ ɪ p ˈ ɛə d; prepared
b ɹ ˈ ɪ k; brick
ˈ æ l ə n; alan allan allen
d ˌ ɛ f ɪ n ˈ ɪ ʃ ə n; definition
s ˈ ɔɪ l; soil
k ɹ ˈ ɪ t ɪ s ˌ aɪ z d; criticised criticized
k ə m p ˈ əʊ n ə n t s; components
k ə n t ˈ ɪ n j uː ɪ ŋ; continuing
p ˈ æ ɹ ə l ˌ ɛ l; parallel
f l ˈ əʊ z; flows
ɹ ɪ p l ˈ eɪ s m ə n t; replacement
f ˈ ɒ ɹ ɪ s t s; forests
s t ˈ eɪ d; stayed
k l ˈ æ s ɪ f ˌ aɪ d; classified
k l ˈ ɑː k; clark clarke clerk
s ə k s ˈ ɛ s ə; successor
b ˈ ɛə; bare bear
p ˈ uː l; pool poole
f ɹ ˈ eɪ m; frame
k ˈ ʌ v ɹ ɪ dʒ; coverage
k ˈ ʌ v ɹ ɪ ŋ; covering
ˈ ɪ n d ə s t ɹ i z; industries
g ˈ ɔː d ə n; gordon
t ˈ æ ŋ k; tank
m aɪ ˈ æ m i; miami
l ˈ ɪ ŋ k ə n; lincoln
p ˈ eɪ p ə z; papers
t ˈ ɛ m p ə ɹ ə ɹ i; temporary
w ˈ aɪ n; whine wine
k ˌ æ ɹ ɪ k t ə ɹ ˈ ɪ s t ɪ k s; characteristics
t ˈ ɛ l; tell
ˈ ɒ n ə ɹ ə ɹ i; honorary
ʃ ˈ ɔː; shaw shore sure
ə ɹ ˈ eɪ n dʒ d; arranged
b ɹ ə z ˈ ɪ l j ə n; brazilian
g ɹ ˈ əʊ; grow
s ˈ æ t ə l ˌ aɪ t; satellite
m ˈ ɒ n j ʊ m ə n t; monument
l ˈ ɛ dʒ ɪ s l ˌ eɪ tʃ ə; legislature
s ˈ ɪ s t ə z; sisters
t ˈ æ m ɪ l; tamil
n ˈ ʌ n; none nun
f ˈ aɪ n d ɪ ŋ; finding
k ˈ ɔː p ɹ ɪ t; corporate
d ˈ ɛ n m ˌ ɑː k; denmark
ɛ n ʃ ˈ ɔː; ensure
n ˈ ɛ t w ˌ ɜː k s; networks
g ˈ eɪ; gay
θ ɹ ˈ ɛ t; threat
ɹ ɪ k w ˈ aɪ ə z; requires
ˈ æ n; ann anne
k ˈ eɪ p ə b ə l; capable
l ˈ ɪ ŋ k t; linked
ˈ ɒ f ɹ ɪ ŋ; offering
ɪ k s p ɹ ˈ ɛ ʃ ə n; expression
b ˈ aʊ n d ɹ i; boundary
m ˈ ɛ s ɪ dʒ; message
k ə n ˈ ɛ t ɪ k ə t; connecticut
t ˈ ɛ s t s; tests
ə k ˈ eɪ ʒ n ə l i; occasionally
ə p ˈ ɪə ɹ ɪ ŋ; appearing
m ˈ æ k s; max
p ˈ ɑː k s; parks
k ə m ˈ ɪ ʃ ə n ə; commissioner
ɹ ɪ v ˈ aɪ v ə l; revival
s k ɹ ˈ ɪ p t; script
m ˌ ɒ n t ɹ ɪ ˈ ɔː l; montreal
ɪ l ˈ ɛ v ə n; eleven
t ˈ əʊ k ɪ əʊ; tokyo
d ɹ ˈ iː m; dream
w ˌ ɛə ɹ ˈ æ z; whereas
ɹ ˌ ɛ p j ʊ t ˈ eɪ ʃ ə n; reputation
ɹ ˈ ɛ s k j uː; rescue
ˈ ɔː θ ə d ˌ ɒ k s; orthodox
ˈ ɪ n s t ə n s; instance
p ˈ æ t ɹ ɪ k; patrick
s k ˈ aɪ; sky
k ˈ ɒ n s t ə n t; constant
ɹ ˌ ɛ s t ə ɹ ˈ eɪ ʃ ə n; restoration
ˌ ɒ p ə ɹ ˈ eɪ ʃ ə n ə l; operational
k ɹ ˈ ɪ t ɪ k; critic
w ˈ ʊ d ə n; wooden
l ˈ ɪ m ɪ t; limit
g ˈ ɒ n; gone
h ˈ əʊ s t s; hosts
ˌ ɪ n f l ʊ ˈ ɛ n ʃ ə l; influential
s ˈ ɒ l t; salt
ə g ˈ əʊ; ago
k ˈ ʌ p ə l z; couples
b ɹ ˈ ɑː n tʃ ɪ z; branches
θ ˈ ɪ ŋ; thing
k ˈ eɪ b ə l; cable
l ə b ˈ ɒ ɹ ə t ə ɹ i; laboratory
m ˈ ɛ t ɹ ˌ əʊ; metro
j uː k ɹ ˈ eɪ n; ukraine
k ə n s ˈ ɪ d ə ɹ ə b ə l; considerable
ˈ ɛ d ɪ n b ɹ ə; edinburgh
s ˌ ʌ m w ˈ ɒ t; somewhat
ɛ m p l ˈ ɔɪ m ə n t; employment
ˈ ɛ n t ə ɹ ɪ ŋ; entering
ˈ ɛ l ɪ m ə n t; element
s ˈ ɪ n ə m ə; cinema
ɹ ˈ eɪ z; raise rays raze
ˈ æ d ɪ ŋ; adding
j ˈ uː z ə; user
s ˈ əʊ l ə; solar
ə k ˈ aʊ n t s; accounts
ˈ eɪ t θ; eighth
p ˈ əʊ ɪ m; poem
l ˈ ɪ s t ɪ ŋ; listing
s t ɹ ə t ˈ iː dʒ ɪ k; strategic
ˈ ɒ ɹ ɪ dʒ ɪ n z; origins
æ t l ˈ æ n t ə; atlanta
ɪ n k ɹ ˈ iː s ɪ ŋ l i; increasingly
d ɪ p ɹ ˈ ɛ ʃ ə n; depression
p ɹ ˈ ɪ z n ə z; prisoners
v ˈ ɪ z ɪ t ɪ ŋ; visiting
n ˈ æ ɹ əʊ; narrow
p ɹ ˈ ɒ p ə; proper
ə d ˈ ʌ l t s; adults
p ɹ ˈ əʊ s ɛ s ɪ z; processes
h j ˈ uː dʒ; huge
s ˈ ɛ n t ə z; centers centres
θ ɹ ˈ ɛ t ə n d; threatened
v ˈ ɪ k t ɪ m z; victims
d ɪ k l ˈ aɪ n; decline
ɹ ˌ ɛ v ə l ˈ uː ʃ ə n ə ɹ i; revolutionary
m ˈ iː t s; meets
k ˈ əʊ tʃ ɪ ŋ; coaching
k l ˈ iː v l ə n d; cleveland
ɹ ˈ æ p ɪ d; rapid
ɪ n ˈ ɪ ʃ ə t ɪ v; initiative
t ɹ ˈ eɪ d ɪ ŋ; trading
w ˈ ɔː k; walk
p l ˈ æ n ɪ t; planet
ə m ˈ ʌ ŋ s t; amongst
ˈ æ n j ʊə l i; annually
ˌ ɑː k ɪ t ˈ ɛ k tʃ ə ɹ ə l; architectural
d ˈ æ n; dan
f ɹ ˈ æ n tʃ ˌ aɪ z; franchise
f ˈ ɔː m ɪ ŋ; forming
n j ˈ uː z p ˌ eɪ p ə z; newspapers
ɹ ˈ aɪ s; rice
æ m b ˈ æ s ə d ə; ambassador
ɹ ˈ aɪ ə n; ryan
dʒ ˈ ɒ b z; jobs
w ˈ ɛ l ʃ; welsh
ə tʃ ˈ iː v; achieve
ɹ ˈ aɪ z ɪ ŋ; rising
p ˈ ɔː tʃ ʊ g ə l; portugal
tʃ ˈ æ ɹ ɪ t i; charity
d ɪ k l ˈ aɪ n d; declined
t ˈ ʌ n ə l; tunnel
ˈ ɛ n; en
k ə ŋ k ɹ ˈ iː t; concrete
f ˈ ɪ l d; filled
k ˈ ɛ v ɪ n; kevin
d ə m ˈ eɪ n; domain
ˈ ɛ ɹ ɪ k; eric erik
k ˈ ɑː d z; cards
v ɪ ˈ ɛ n ə; vienna
s ˈ ɜː dʒ ə ɹ i; surgery
p ɑː t ˌ ɪ s ɪ p ˈ eɪ ʃ ə n; participation
t ˈ ɛ ɹ ɪ t ə ɹ i z; territories
k ˈ æ m ɹ ə; camera
s t ɹ ˈ ɒ ŋ l i; strongly
k ɹ ˈ ɛ d ɪ t s; credits
p ɹ ə p ˈ əʊ z ə l; proposal
b ˈ ɛ n ɪ f ɪ t; benefit
f ˈ ɪ k s t; fixed
ə p ˈ ɔɪ n t m ə n t; appointment
p l ˈ eɪ n; plain plane
j ˈ uː n ɪ v ˌ ɜː s; universe
k ə n s ˈ ɪ d ə; consider
θ ˈ iː m z; themes
k ə m p ˈ iː t ɪ ŋ; competing
l ˈ ɛ dʒ ə n d; legend
ˈ æ n ə; ana anna
m ˈ eɪ n t n ə n s; maintenance
ɹ ɪ p l ˈ eɪ s ɪ ŋ; replacing
ˈ ɔː d ɪ ˌ əʊ; audio
l ˈ ɒ ɹ ə n s; lawrence
t ˈ aɪ d; tide tied
t ˈ ɔː l; tall
l ˈ ɜː n; learn
ˈ ɛ n ɪ θ ˌ ɪ ŋ; anything
s ə v ˈ aɪ v ɪ ŋ; surviving
h ˈ ɛ l p ɪ ŋ; helping
b ɹ ˈ ɪ ŋ ɪ ŋ; bringing
n ˈ aɪ ð ə; neither
l ˈ ɪ v ə p ˌ uː l; liverpool
v ˈ ɜː s ə s; versus
s ˈ aɪ t ɪ d; cited
b ˈ eɪ s ɪ n; basin
m ˈ ɒ d ɪ f ˌ aɪ d; modified
h ˈ ɛə; hair hare
f ɹ ˈ iː k w ə n s i; frequency
s ə ɹ ˈ aʊ n d ɪ d; surrounded
v ˈ ɛ s ə l z; vessels
ɪ n v ˈ ɒ l v m ə n t; involvement
m ˈ aʊ θ; mouth
ɪ k s p l ˈ eɪ n d; explained
k ˌ ɒ n s t ɪ t j ˈ uː ʃ ə n ə l; constitutional
s p ˈ iː k; speak
tʃ ˈ eɪ n dʒ ɪ ŋ; changing
t ɹ ˈ aɪ b; tribe
l ˈ æ n s k ˌ eɪ p; landscape
k ə m p l ˈ iː ʃ ə n; completion
d ˈ eɪ t ɪ d; dated
g ˈ eɪ t; gait gate
m ˈ əʊ d; mode mowed
m ə l ˈ eɪ ʒ ə; malaysia
ˈ æ b i; abbey
l ˈ ɪ s t s; lists
g ɹ ˈ əʊ n; groan grown
m ˈ uː v i z; movies
k ə n d ˈ ʌ k t; conduct
ˈ ʌ ŋ k ə l; uncle
ɪ g z ˈ ɪ s t ɪ d; existed
s ˈ eɪ f; safe
t ˈ uː l z; tools
s p ɹ ˈ ɪ ŋ z; springs
s ˈ uː ɪ s ˌ aɪ d; suicide
b ˈ ɔː l t ɪ m ˌ ɔː; baltimore
h ˈ ʌ n d ɹ ə d z; hundreds
s ɪ ˈ æ t ə l; seattle
m ˈ uː v m ə n t s; movements
s t ɹ ˈ ʌ k; struck
t ɹ ˈ uː θ; truth
ˈ ɑː m; arm
v ˈ əʊ k ə l; vocal
m ˈ ɑː s t ə z; masters
ɹ ˈ ɒ dʒ ə; roger
ˈ æ d v ə t ˌ aɪ z ɪ ŋ; advertising
ˈ iː z i; easy
ɪ l ˈ ɛ k t ɹ ɪ k ə l; electrical
k ˈ ɒ l ɪ dʒ ɪ z; colleges
ɪ k s p ˌ ɛ ɹ ɪ m ˈ ɛ n t ə l; experimental
f ˈ æ n; fan
s k ˈ ɪ n; skin
m ˈ aʊ n t ɪ d; mounted
m ˈ ɑː g ɹ ə t; margaret
h ˈ æ p ə n d; happened
s ˈ aɪ n ɪ ŋ; signing
d ɹ ˈ ɔː ɪ ŋ; drawing
m ˈ ɪ ʃ ə n z; missions
ˈ ɪ n t ɪ g ɹ ˌ eɪ t ɪ d; integrated
s t ˈ ʌ d i ɪ ŋ; studying
ɹ ˈ æ ŋ k ɪ ŋ; ranking
s ˈ ʌ m ɪ t; summit
m ˈ æ n ə; manner manor
s p ˈ iː k ə; speaker
l ˈ eɪ k s; lakes
h ʌ ŋ g ˈ ɛə ɹ ɪə n; hungarian
ə k ˈ eɪ ʒ ə n z; occasions
w ˈ ɔː k ə; walker
t ˈ æ l ə n t; talent
ˈ ɛ d ɪ t ɪ d; edited
f ˈ aɪ l d; filed
d ɪ z ˈ aɪ n ə; designer
ɪ k s p ˈ ɪə ɹ ɪə n s ɪ z; experiences
ɹ ˌ ɛ p ɹ ɪ z ɛ n t ˈ eɪ ʃ ə n; representation
ə p ˈ ɛə ɹ ə n t l i; apparently
ɹ ˈ aʊ n d z; rounds
m ˈ æ s ɪ v; massive
h ˈ ɔː s ɪ z; horses
ˌ ɪ n d ə n ˈ iː ʒ ə; indonesia
ˈ ɪ n d ɪ k ˌ eɪ t ɪ d; indicated
p ˈ ɪ t s b ɜː g; pittsburgh
p ˈ əʊ ɪ m z; poems
n ˌ ɒ m ɪ n ˈ eɪ ʃ ə n; nomination
t ˈ ʊə ɹ ˌ ɪ z ə m; tourism
ɪ l ˈ iː g ə l; illegal
m ˈ iː t ɪ ŋ z; meetings
b ˈ ʊ ʃ; bush
m ˈ eɪ k ˌ ʌ p; make-up makeup
ˌ ɛ l ɪ v ˈ eɪ ʃ ə n; elevation
p ɹ ə g ɹ ˈ ɛ s ɪ v; progressive
s ɪ k j ˈ ʊə; secure
k ˌ ɒ n t ɹ ə v ˈ ɜː ʃ ə l; controversial
l ˈ ɑː s t ɪ d; lasted
k ˈ ɛ n t; kent
s t ɹ ˈ iː m; stream
d ˈ eɪ v; dave
ɹ ˈ ɛ v ə n j ˌ uː; revenue
s p ˈ ɪ ɹ ɪ tʃ j ʊə l; spiritual
k l ˈ ɪ n ɪ k ə l; clinical
s uː p ˈ ɪə ɹ ɪə; superior
ˈ aʊ t p ˌ ʊ t; output
h ˈ ʌ ŋ g ə ɹ i; hungary
m ˈ ɪ n ɪ m ə m; minimum
k ˈ ɪ m; kim
m ˈ əʊ m ə n t; moment
s t ˈ aɪ l z; styles
t ˈ ʊə ɹ ɪ ŋ; touring
s ˈ ɒ l ɪ d; solid
b ˈ ɛə z; bears
p ɹ ˈ ɪ n s ɪ p ə l z; principles
s p ˈ iː k ɪ ŋ; speaking
s k ˈ ɒ l ə ʃ ˌ ɪ p; scholarship
n ˈ ɛ t; net
m ˈ iː d ɪə m; medium
k ˈ ɒ n s ə t s; concerts
d ɪ n ˈ aɪ d; denied
k ˈ ɒ l ə m; column
θ ˈ aʊ z ə n d; thousand
ɪ k w ˈ ɪ p t; equipped
ɪ f ˈ ɛ k t ɪ v l i; effectively
ʃ ˈ ɛ l; shell
k ˈ ɑː l; carl karl
n ˈ ɔː m l i; normally
ɪ k s t ɹ ˈ iː m; extreme
p ɹ ə d j ˈ uː s ə z; producers
t ˈ ɜː n ɪ ŋ; turning
ˈ ɪ n d ɛ k s; index
ɹ ˈ aɪ v ə l; rival
b ˈ ɒ n d; bond
f ˈ iː d; feed
ʌ n j ˈ uː ʒ ʊə l; unusual
h ˈ ɛ n s; hence
ˈ æ l ɪ k s; alex
s ə p ˈ ɔː t ə z; supporters
h ˈ æ ɹ ɪ s; harris
b ˈ æ ɹ ə n; baron
dʒ ˈ ɔː d ə n; jordan
l ˈ aɪ s ə n s; licence license
ˈ ɒ p ʃ ə n; option
ə l ˈ ɛ dʒ d; alleged
b ɹ ˈ ɔː d w ˌ eɪ; broadway
s ˈ ɪ m ɪ l ə l i; similarly
p ˈ ɜː f ˌ ɪ k t; perfect
ˌ æ d ə p t ˈ eɪ ʃ ə n; adaptation
p ˈ ɛ n ə l t i; penalty
b ɹ ˈ uː s; bruce
s l ˈ əʊ; slow
d ɪ z ˈ ɜː t; desert dessert
d ˈ æ l ə s; dallas
v ˈ əʊ t ɪ ŋ; voting
ə t ɹ ˈ æ k t ɪ d; attracted
k ˈ ɛ n ɪ d i; kennedy
v ˈ ɪ z ɪ b ə l; visible
ɹ ˈ ɒ s; ross
v ˈ ɛ s ə l; vessel
b ˈ ɔː d ə z; borders
s ˈ ɛə ɹ ə; sara sarah
t ɹ ˈ æ n z ɪ t; transit
f l ˈ aɪ; fly
ə p ɹ ˈ uː v ə l; approval
f ˈ əʊ n; phone
ə k s ˈ ɛ p t; accept
ʃ ˈ ɛə z; shares
v ˈ ɪ d ɪ əʊ z; videos
ɹ əʊ m ˈ eɪ n ɪə; romania
ɹ ˈ ɛ z ɪ d ə n t; resident
ˈ aʊ t ə; outer
f ɹ ˈ uː t; fruit
ˈ ɛ k s ɪ k j ˌ uː t ɪ d; executed
w ˈ aɪ d s p ɹ ˌ ɛ d; widespread
ˈ ɑː k ə n s ˌ ɔː; arkansas
m ˈ ɔː g ə n; morgan
ɹ ˈ æ p ɪ d l i; rapidly
b ˈ ɜː m ɪ ŋ ə m; birmingham
s ˈ iː dʒ; siege
ə ɹ ˈ ɛ s t; arrest
p ɑː t ˈ ɪ s ɪ p ə n t s; participants
f ˈ ɪ n l ə n d; finland
ʃ ˈ ʊ g ə; sugar
g ɹ ˈ æ d j ʊ l i; gradually
k ə n s ˈ ɜː n; concern
k ə n s ˈ ɜː n d; concerned
m ˈ ɜː tʃ ə n t; merchant
t ɹ ə d ˈ ɪ ʃ n ə l i; traditionally
s k ˈ ɒ l ə; scholar
g ɹ ˈ eɪ t l i; greatly
p ˈ æ n ə l; panel
ˈ eɪ dʒ ə n s i z; agencies
h ˈ æ p i; happy
k ə m p ˈ ɛ t ɪ t ɪ v; competitive
d ˈ ɒ k j ʊ m ɛ n t; document
ð ˌ ɛə ɹ ˈ ɑː f t ə; thereafter
dʒ ˈ eɪ n; jane
ˈ æ k t ɪ d; acted
w ˈ iː k ˌ ɛ n d; weekend
d ɪ p ˈ ɑː tʃ ə; departure
b l ˈ ɒ k s; blocks
